ros_time_sec,sim_time_sec,trajectory_elapsed_sec,UPJ5_position,UPJ5_velocity,UPJ5_acceleration,UPJ6_position,UPJ6_velocity,UPJ6_acceleration
1779803130.5410082,2.8799999999999044,2.2179999999999773,0.2908008504894635,-0.09147286544236957,-0.12291168067628255,0.016917979700379292,-0.5475447575764296,-2.012020765544409
1779803130.5469482,2.881999999999904,2.219999999999977,0.29061780907233387,-0.09152070856483101,-0.023921561230717814,0.015815083273143016,-0.5514482136181382,-1.9517280208543042
1779803130.553428,2.883999999999904,2.221999999999977,0.29043443952304737,-0.0916847746432386,-0.08203303920379518,0.014704539011939775,-0.555272130601621,-1.9119584917413612
1779803130.5601027,2.8859999999999038,2.2239999999999767,0.29025066736847094,-0.0918860772882191,-0.10065132249025,0.013586510495104471,-0.5590142584176516,-1.8710639080153357
1779803130.566251,2.8879999999999035,2.2259999999999764,0.29006624637747624,-0.09221049549735207,-0.1622091045664839,0.012461032051854825,-0.5627392216248235,-1.8624816035859304
1779803130.5730004,2.8899999999999033,2.227999999999976,0.28988136525460745,-0.09244056143440052,-0.11503296852422712,0.011327773289219214,-0.5666293813178058,-1.9450798464911712
1779803130.5788786,2.891999999999903,2.229999999999976,0.2896960298403587,-0.09266770712438997,-0.11357284499472625,0.010186663303494062,-0.570554992862576,-1.9628057723851122
1779803130.5847018,2.893999999999903,2.231999999999976,0.289509964369736,-0.09303273531135894,-0.18251409348448572,0.009037795932142146,-0.5744336856759582,-1.9393464066910782
1779803130.5916007,2.8959999999999027,2.2339999999999756,0.28932328183813544,-0.09334126580025762,-0.15426524444933642,0.00788130947763181,-0.5782432272551679,-1.904770789604826
1779803130.597215,2.8979999999999024,2.2359999999999753,0.28913596536225644,-0.09365823793950986,-0.15848606962612366,0.006717392234908686,-0.581958621361562,-1.8576970531970494
1779803130.603576,2.899999999999902,2.237999999999975,0.28894772535922986,-0.09412000151329988,-0.2308817868950097,0.005546150099834552,-0.5856210675370673,-1.831223087752687
1779803130.609792,2.901999999999902,2.239999999999975,0.28875871667884656,-0.09450434019165616,-0.19216933917813595,0.004367984150009106,-0.5890829749127228,-1.7309536878277187
1779803130.6155772,2.9039999999999018,2.2419999999999747,0.28856864363788565,-0.09503652048046292,-0.2660901444033817,0.003183007310342954,-0.592488419833076,-1.7027224601766089
1779803130.622437,2.9059999999999016,2.2439999999999745,0.28837776563518147,-0.09543900135207925,-0.2012404358081657,0.001991634696285968,-0.5956863070284928,-1.598943597708402
1779803130.6282341,2.9079999999999013,2.2459999999999742,0.2881861213805761,-0.09582212730268899,-0.19156297530487087,0.0007941534429796735,-0.5987406266531473,-1.5271598123272612
1779803130.6339011,2.909999999999901,2.247999999999974,0.2879934079670232,-0.09635670677643579,-0.2672897368733995,-0.0004092899072298329,-0.6017216751047532,-1.490524225802925
1779803130.6401072,2.911999999999901,2.249999999999974,0.287799776030321,-0.09681596835111575,-0.22963078733997944,-0.001618281612501906,-0.6044958526360366,-1.3870887656416975
1779803130.6460748,2.9139999999999007,2.2519999999999736,0.28760489077698315,-0.0974426266689217,-0.3133291589029752,-0.0028325107481578997,-0.6071145678279968,-1.3093575959801096
1779803130.6520953,2.9159999999999004,2.2539999999999734,0.2874089866581761,-0.0979520594035192,-0.254716367298749,-0.004051457921810207,-0.6094735868261536,-1.1795094990784127
1779803130.6585004,2.9179999999999002,2.255999999999973,0.2872121102332026,-0.09843821248676897,-0.24307654162488562,-0.005274771579994435,-0.6116568290921139,-1.0916211329801695
1779803130.6642978,2.9199999999999,2.257999999999973,0.2870139389411914,-0.09908564600557032,-0.32371675940067596,-0.006502213198289338,-0.6137208091474514,-1.0319900276687388
